         14756: (43.7526,37.6933,30.7664) #2C261F srgb(17.1579%,14.7817%,12.0653%)
         11078: (50.6722,65.8898,76.4463) #33424C srgb(19.8715%,25.8391%,29.9789%)
         25448: (94.7308,45.3349,31.8367) #5F2D20 srgb(37.1493%,17.7784%,12.485%)
         12529: (99.9079,94.3856,85.7196) #645E56 srgb(39.1796%,37.014%,33.6155%)
         18477: (104.755,80.5807,41.4352) #695129 srgb(41.0804%,31.6003%,16.2491%)
          7368: (111.641,140.374,119.054) #708C77 srgb(43.7806%,55.0487%,46.6877%)
         37554: (156.344,91.686,38.9729) #9C5C27 srgb(61.3112%,35.9553%,15.2835%)
         22200: (157.162,105.948,82.3171) #9D6A52 srgb(61.6322%,41.5483%,32.2812%)
         17975: (167.227,67.7501,47.4579) #A7442F srgb(65.5793%,26.5687%,18.6109%)
         25967: (169.334,153.917,96.1204) #A99A60 srgb(66.4054%,60.3595%,37.6943%)
         14668: (179.076,187.204,169.663) #B3BBAA srgb(70.2258%,73.4132%,66.5346%)
         14432: (199.717,175.405,75.6875) #C8AF4C srgb(78.3204%,68.7862%,29.6814%)
         25949: (209.076,161.516,45.5746) #D1A22E srgb(81.9906%,63.3395%,17.8724%)
         28324: (209.908,167.815,93.2648) #D2A85D srgb(82.317%,65.8097%,36.5744%)
         14693: (212.675,173.534,147.569) #D5AE94 srgb(83.402%,68.0525%,57.8703%)
         22082: (217.937,205.952,157.592) #DACE9E srgb(85.4653%,80.7656%,61.8009%)
