         13877: (85.587,66.6494,73.0036) #564349 srgb(33.5635%,26.137%,28.6289%)
          6647: (96.0528,132.188,123.477) #60847B srgb(37.6678%,51.8385%,48.4224%)
          4925: (100.99,171.794,152.454) #65AC98 srgb(39.6041%,67.37%,59.7861%)
          9587: (161.903,96.4884,87.6932) #A26058 srgb(63.4914%,37.8386%,34.3895%)
          9548: (165.662,166.739,153.576) #A6A79A srgb(64.9653%,65.3877%,60.226%)
          8532: (169.283,151.837,102.96) #A99867 srgb(66.3855%,59.5441%,40.3764%)
         10821: (170.135,46.2826,42.3313) #AA2E2A srgb(66.7195%,18.15%,16.6005%)
         11428: (178.029,197.218,181.652) #B2C5B6 srgb(69.8155%,77.3402%,71.2361%)
          7356: (186.201,77.5117,55.4551) #BA4E37 srgb(73.0199%,30.3967%,21.7471%)
         13402: (204.924,48.5167,45.9187) #CD312E srgb(80.3625%,19.0262%,18.0073%)
          5771: (208.045,179.189,83.5541) #D0B354 srgb(81.5861%,70.2702%,32.7663%)
          9255: (214.835,161.012,103.764) #D7A168 srgb(84.2492%,63.1421%,40.6918%)
         10614: (216.021,96.3576,86.9708) #D86057 srgb(84.7142%,37.7873%,34.1062%)
         18751: (219.951,174.852,151.702) #DCAF98 srgb(86.2554%,68.5692%,59.4909%)
         27537: (224.057,207.567,169.187) #E0D0A9 srgb(87.8655%,81.3987%,66.3479%)
         34449: (224.164,217.494,208.801) #E0D9D1 srgb(87.9074%,85.2916%,81.8826%)
