         27992: (25.0143,101.765,83.9935) #196654 srgb(9.80954%,39.908%,32.9386%)
         29040: (27.1654,87.6555,46.9283) #1B582F srgb(10.6531%,34.3747%,18.4032%)
         18224: (66.0204,46.6974,32.0256) #422F20 srgb(25.8904%,18.3127%,12.5591%)
          5382: (78.5463,112.999,140.652) #4F718D srgb(30.8025%,44.3135%,55.1575%)
         16091: (80.323,142.413,93.732) #508E5E srgb(31.4992%,55.8484%,36.7577%)
         13935: (88.7565,158.052,155.343) #599E9B srgb(34.8065%,61.9811%,60.919%)
         15809: (95.501,103.222,88.5476) #606759 srgb(37.4514%,40.4794%,34.7245%)
         19242: (99.0341,91.6081,37.2942) #635C25 srgb(38.8369%,35.9247%,14.6252%)
         22717: (152.8,100.442,41.0861) #996429 srgb(59.9217%,39.3889%,16.1122%)
         15115: (156.221,99.9463,72.6759) #9C6449 srgb(61.2633%,39.1946%,28.5004%)
         21980: (161.415,169.934,153.6) #A1AA9A srgb(63.2999%,66.6409%,60.2353%)
         38520: (166.887,153.382,94.3198) #A7995E srgb(65.446%,60.1498%,36.9881%)
         17581: (168.765,149.713,38.9819) #A99627 srgb(66.1823%,58.711%,15.287%)
         26547: (194.89,193.196,170.379) #C3C1AA srgb(76.4274%,75.7632%,66.8154%)
         10649: (202.661,176.724,58.0998) #CBB13A srgb(79.4751%,69.3037%,22.7842%)
         35176: (205.787,166.679,95.5249) #CEA760 srgb(80.701%,65.3643%,37.4607%)
